age;job;marital;education;housing;loan;contact;month;day_of_week;campaign;previous;poutcome;cons,price,idx;cons,conf,idx;y
55;2;1;5;1;1;0;7;1;1;2;0;92,431;-26,9;0
37;1;1;2;1;0;0;2;3;2;0;1;92,893;-46,2;0
46;7;1;3;1;0;0;1;1;1;0;1;93,075;-47,1;0
42;1;0;1;1;0;0;2;3;2;0;1;92,893;-46,2;0
35;0;2;6;1;0;0;4;1;3;0;1;93,918;-42,7;0
29;7;0;3;0;1;1;3;1;3;0;1;94,465;-41,8;0
32;1;1;2;0;0;0;8;1;2;1;2;93,2;-42;1
37;6;1;6;0;0;0;2;5;1;1;0;92,893;-46,2;0
39;9;2;5;0;0;1;3;1;4;0;1;94,465;-41,8;1
51;7;1;3;1;0;1;4;1;3;0;1;93,918;-42,7;1
28;0;2;3;1;0;0;2;2;3;0;1;92,893;-46,2;0
34;4;1;6;1;0;0;2;3;4;0;1;92,893;-46,2;0
31;9;2;3;1;1;0;5;2;1;0;1;93,444;-36,1;1
31;0;1;6;1;0;0;5;4;5;0;1;93,444;-36,1;0
31;0;2;6;1;0;1;3;3;2;0;1;94,465;-41,8;0
38;6;2;6;0;0;1;2;4;2;0;1;93,994;-36,4;0
33;10;1;2;0;0;1;3;5;6;0;1;94,465;-41,8;0
32;9;2;6;0;0;0;5;2;12;0;1;93,444;-36,1;0
54;9;1;5;1;0;0;1;1;1;0;1;93,075;-47,1;0
41;0;0;3;1;0;1;3;2;2;0;1;94,465;-41,8;0
59;7;1;0;0;0;0;5;4;7;0;1;93,444;-36,1;0
57;5;1;6;1;0;0;1;4;1;1;2;93,075;-47,1;0
38;2;0;6;1;0;0;8;4;1;0;1;93,2;-42;0
46;0;1;6;1;0;1;2;2;1;0;1;93,994;-36,4;0
37;10;2;6;1;1;0;8;2;1;0;1;93,2;-42;0
45;0;2;6;0;0;0;5;4;1;0;1;93,444;-36,1;1
36;1;1;1;1;0;1;4;3;1;0;1;93,918;-42,7;0
40;10;2;3;1;0;0;4;1;5;0;1;93,918;-42,7;0
38;1;1;2;0;0;0;8;2;2;1;0;93,2;-42;0
44;1;1;3;0;0;1;3;2;2;0;1;94,465;-41,8;0
25;6;1;6;1;0;1;2;5;2;0;1;93,994;-36,4;0
30;1;2;1;1;0;1;4;2;5;0;1;93,918;-42,7;0
43;4;1;5;0;0;0;8;2;2;0;1;93,2;-42;0
58;5;1;1;0;0;1;2;1;3;0;1;93,994;-36,4;0
31;9;1;5;1;0;1;2;3;6;0;1;93,994;-36,4;0
53;4;1;6;0;0;0;4;2;2;0;1;93,918;-42,7;0
37;4;1;6;0;1;0;1;5;1;1;0;93,075;-47,1;0
58;0;1;3;1;0;0;4;2;1;0;1;93,918;-42,7;0
37;7;1;3;1;1;0;2;4;3;0;1;92,893;-46,2;0
33;7;2;2;1;0;0;1;4;2;0;1;93,075;-47,1;0
45;7;1;3;1;0;0;2;5;1;0;1;92,893;-46,2;0
44;2;1;5;0;0;1;2;1;1;0;1;93,994;-36,4;0
38;1;1;1;1;0;1;4;4;2;0;1;93,918;-42,7;0
34;1;1;2;0;0;1;3;2;1;0;1;94,055;-39,8;0
47;4;1;6;1;0;0;4;3;1;0;1;92,469;-33,6;0
59;0;1;6;1;1;0;4;3;1;0;1;92,469;-33,6;0
51;1;1;0;1;1;0;5;4;2;0;1;93,444;-36,1;0
31;1;1;1;1;0;1;3;3;2;0;1;94,465;-41,8;0
56;4;1;6;1;1;0;8;3;1;1;0;93,2;-42;0
39;0;1;6;0;0;1;3;1;2;0;1;94,465;-41,8;0
41;2;1;6;1;0;0;8;2;1;0;1;93,2;-42;1
41;4;0;1;1;0;0;8;4;1;0;1;93,2;-42;0
53;7;1;3;0;0;1;2;4;4;0;1;93,994;-36,4;0
35;1;1;3;0;1;0;4;1;4;0;1;93,918;-42,7;0
58;5;1;2;0;1;0;2;3;1;0;1;92,893;-46,2;0
25;6;1;5;1;0;1;3;3;2;0;1;94,465;-41,8;0
35;1;0;2;1;0;0;2;2;1;1;0;92,893;-46,2;0
28;7;2;3;0;0;0;4;3;1;0;1;93,918;-42,7;0
55;1;1;5;1;1;0;2;5;3;1;0;92,893;-46,2;0
54;2;1;0;0;1;1;2;4;1;0;1;93,994;-36,4;0
45;9;0;2;0;0;0;4;3;2;0;1;93,918;-42,7;0
32;1;1;2;1;0;0;1;4;1;1;0;93,075;-47,1;0
50;0;1;2;1;0;0;5;4;3;0;1;93,444;-36,1;0
75;5;1;0;0;0;0;1;2;1;1;0;93,075;-47,1;1
29;4;1;6;0;1;0;5;3;2;0;1;93,444;-36,1;0
45;4;1;6;1;0;0;2;4;1;0;1;92,893;-46,2;0
38;0;0;6;0;0;0;1;1;1;0;1;93,075;-47,1;1
24;7;2;5;1;0;1;2;1;1;0;1;93,994;-36,4;0
41;9;1;5;1;0;0;5;1;1;0;1;93,444;-36,1;0
58;5;0;3;1;0;0;3;2;1;0;1;92,963;-40,8;1
34;0;1;6;0;1;1;2;3;2;0;1;93,994;-36,4;0
34;0;1;6;0;0;0;8;1;2;0;1;94,767;-50,8;0
37;9;0;5;0;0;1;2;3;1;0;1;93,994;-36,4;0
53;1;0;0;0;0;1;3;3;1;0;1;94,465;-41,8;1
54;9;0;5;1;1;0;4;2;14;0;1;93,918;-42,7;0
32;9;0;5;1;0;0;8;2;1;0;1;93,2;-42;0
42;0;1;3;1;0;0;4;5;6;0;1;93,918;-42,7;0
28;9;2;5;1;0;0;5;4;2;1;2;92,201;-31,4;1
33;7;2;3;1;0;1;2;5;1;0;1;93,994;-36,4;0
41;1;1;2;1;0;0;1;1;2;0;1;93,075;-47,1;0
31;7;1;3;0;1;0;8;4;1;0;1;93,2;-42;0
40;9;1;2;0;1;1;2;4;4;0;1;93,994;-36,4;0
40;0;0;6;1;0;0;5;1;1;0;1;93,444;-36,1;0
82;3;1;0;0;0;1;6;2;3;2;2;94,199;-37,5;1
28;1;1;0;1;0;0;4;1;1;0;1;93,918;-42,7;0
30;0;1;3;1;0;0;8;3;3;0;1;93,2;-42;0
31;10;2;6;1;0;0;4;2;1;3;2;94,215;-40,3;1
32;9;2;6;1;0;0;5;3;1;0;1;93,444;-36,1;0
54;1;1;0;1;0;0;5;2;1;0;1;93,444;-36,1;0
31;1;1;2;0;0;0;4;3;1;0;1;93,918;-42,7;0
31;0;2;3;1;1;0;2;3;1;0;1;92,893;-46,2;0
32;10;1;3;1;0;0;8;4;1;0;1;93,2;-42;0
46;0;2;3;1;0;0;8;1;2;2;0;94,767;-50,8;0
47;0;2;3;0;0;0;2;1;2;0;1;92,893;-46,2;0
32;0;2;3;0;0;0;8;1;2;2;0;94,767;-50,8;0
52;7;0;3;0;0;0;8;1;1;0;1;93,2;-42;0
45;0;1;3;1;0;0;7;5;3;1;2;94,601;-49,5;1
32;0;1;6;1;0;0;2;5;2;0;1;92,893;-46,2;0
71;1;0;0;0;0;0;5;4;1;0;1;94,027;-38,3;0
49;7;1;3;1;0;1;2;5;2;0;1;93,994;-36,4;0
46;0;1;3;1;1;1;3;3;10;0;1;94,465;-41,8;0
46;1;1;5;0;0;0;8;5;1;0;1;94,767;-50,8;0
38;0;1;6;1;0;0;5;2;6;0;1;93,444;-36,1;0
57;7;1;5;0;0;0;5;1;2;0;1;93,444;-36,1;0
44;9;1;5;0;0;1;2;5;3;0;1;93,994;-36,4;0
47;9;1;6;1;0;0;5;3;7;0;1;93,444;-36,1;0
40;1;1;2;1;1;1;2;3;2;0;1;93,994;-36,4;0
57;5;2;5;1;0;1;2;1;1;0;1;93,994;-36,4;0
52;1;1;2;0;0;0;5;5;1;0;1;93,444;-36,1;1
34;4;1;6;1;1;1;3;3;1;0;1;92,963;-40,8;0
42;2;1;6;1;0;1;2;2;1;0;1;93,994;-36,4;0
45;4;1;0;1;0;1;2;5;1;0;1;93,994;-36,4;0
56;5;1;3;0;0;0;2;1;1;0;1;92,893;-46,2;0
41;4;1;6;1;0;0;2;4;1;0;1;92,893;-46,2;0
44;0;1;3;1;0;0;5;5;1;0;1;93,444;-36,1;0
50;1;1;1;1;0;0;2;1;3;1;2;92,893;-46,2;1
54;6;1;3;0;0;0;5;2;3;0;1;93,444;-36,1;0
51;1;1;1;0;0;0;5;5;1;0;1;93,444;-36,1;0
30;1;2;2;0;0;0;8;3;1;0;1;93,2;-42;0
42;3;1;0;1;0;1;3;5;8;0;1;94,465;-41,8;0
41;9;1;5;1;0;1;3;1;11;0;1;94,465;-41,8;0
47;7;2;2;0;0;0;8;2;2;0;1;93,2;-42;0
35;1;1;1;1;0;0;1;5;1;1;0;93,075;-47,1;0
58;1;1;2;0;0;0;8;2;1;1;0;93,2;-42;0
50;1;0;3;1;1;0;4;1;2;0;1;93,918;-42,7;1
41;9;1;5;0;0;1;2;2;1;0;1;93,994;-36,4;0
38;9;1;6;1;0;0;2;3;1;0;1;92,893;-46,2;0
32;8;2;6;0;0;0;8;4;2;0;1;93,2;-42;0
21;8;2;3;0;0;0;5;2;1;1;0;92,201;-31,4;0
46;0;0;2;0;0;1;2;3;1;0;1;93,994;-36,4;0
42;6;1;6;1;0;0;8;5;3;0;1;93,2;-42;0
55;7;1;2;0;0;0;5;3;13;0;1;93,444;-36,1;0
29;0;2;3;1;0;1;8;1;1;1;2;94,767;-50,8;0
30;1;2;1;1;0;1;3;3;1;0;1;94,465;-41,8;0
53;4;1;0;1;0;0;8;3;1;0;1;93,2;-42;0
35;4;1;6;1;0;0;8;3;2;0;1;93,2;-42;0
46;7;1;5;1;0;1;2;2;4;0;1;93,994;-36,4;0
43;2;1;6;1;0;0;4;2;1;0;1;93,918;-42,7;0
42;7;1;3;1;0;0;4;1;4;0;1;93,918;-42,7;0
32;9;1;5;0;0;0;4;2;1;0;1;93,918;-42,7;0
41;1;0;2;1;0;0;2;5;1;1;0;92,893;-46,2;0
28;0;1;6;0;0;0;2;2;3;1;0;92,893;-46,2;0
24;7;2;6;0;0;0;4;4;6;0;1;93,918;-42,7;0
43;4;1;6;1;1;0;1;5;1;0;1;93,075;-47,1;0
30;0;2;6;1;0;0;5;1;1;0;1;93,444;-36,1;0
55;1;1;2;0;0;0;8;2;2;0;1;93,2;-42;0
51;5;1;2;0;0;0;4;5;1;0;1;93,918;-42,7;0
22;8;2;3;0;1;0;4;5;2;0;1;93,918;-42,7;0
32;2;2;6;0;1;0;8;4;1;0;1;93,2;-42;0
43;0;1;5;0;0;0;4;4;3;0;1;93,918;-42,7;0
39;4;1;1;0;0;1;3;1;5;0;1;94,465;-41,8;0
38;9;2;5;1;0;0;2;1;3;1;0;92,893;-46,2;0
59;5;1;0;0;0;1;1;2;4;0;1;93,075;-47,1;0
31;1;1;0;1;0;1;2;3;2;0;1;93,994;-36,4;0
76;5;2;0;0;0;0;8;1;4;1;2;92,649;-30,1;1
32;7;1;3;0;0;1;3;5;1;0;1;94,465;-41,8;0
33;0;2;6;1;0;0;5;4;4;0;1;93,444;-36,1;1
59;5;1;0;1;0;0;5;5;1;0;1;93,444;-36,1;0
28;1;1;2;1;0;0;4;1;3;0;1;93,918;-42,7;0
33;1;2;1;1;0;0;2;5;2;0;1;92,893;-46,2;0
53;7;1;3;1;0;0;5;4;1;0;1;93,444;-36,1;0
41;7;1;3;0;0;0;0;3;6;0;1;92,843;-50;1
45;1;1;2;0;0;1;2;2;1;0;1;93,994;-36,4;0
35;9;1;5;0;0;0;4;4;4;0;1;93,918;-42,7;0
31;7;1;3;0;0;0;4;1;3;0;1;93,918;-42,7;0
53;4;1;6;0;0;0;5;1;4;0;1;93,444;-36,1;0
35;9;2;5;1;0;0;2;4;1;0;1;92,893;-46,2;0
45;1;0;1;1;0;0;2;4;1;0;1;92,893;-46,2;0
34;3;2;6;0;0;1;3;4;2;0;1;94,465;-41,8;0
42;0;1;2;0;0;1;1;1;3;1;0;93,075;-47,1;0
36;6;1;2;1;1;0;8;4;3;0;1;93,2;-42;0
44;0;1;3;0;0;1;2;3;3;0;1;93,994;-36,4;0
50;0;0;6;1;0;0;5;2;2;0;1;93,444;-36,1;0
36;0;1;6;1;0;0;6;5;1;0;1;92,379;-29,8;0
27;9;1;5;0;0;0;4;4;9;0;1;93,918;-42,7;0
25;9;2;6;1;1;1;3;1;6;0;1;94,465;-41,8;0
29;4;1;6;1;1;0;5;2;2;0;1;93,444;-36,1;0
44;0;1;3;0;0;1;2;3;3;0;1;93,994;-36,4;0
30;0;2;3;1;0;0;4;3;1;0;1;93,918;-42,7;0
37;6;1;6;1;1;0;5;3;2;0;1;93,444;-36,1;0
57;9;1;2;0;0;0;4;2;1;0;1;93,918;-42,7;0
32;9;1;5;1;0;0;4;4;1;0;1;93,918;-42,7;1
54;0;1;5;0;0;0;8;2;2;1;2;94,767;-50,8;1
58;1;1;2;1;0;0;5;1;1;0;1;93,444;-36,1;1
29;0;2;6;1;0;0;5;2;5;0;1;93,444;-36,1;0
60;7;1;3;0;0;0;5;2;1;0;1;93,444;-36,1;0
27;10;2;6;0;0;1;3;3;2;0;1;94,465;-41,8;0
30;10;1;3;1;0;0;4;2;3;0;1;93,918;-42,7;0
42;1;1;0;0;0;1;2;3;1;0;1;93,994;-36,4;0
48;3;1;3;0;0;1;3;2;1;0;1;94,465;-41,8;0
35;0;2;6;0;0;0;5;1;2;0;1;93,444;-36,1;0
46;1;1;1;1;1;1;2;1;1;0;1;93,994;-36,4;0
30;7;1;3;0;0;1;3;1;3;0;1;94,465;-41,8;0
28;9;2;3;1;1;0;1;4;4;1;0;93,075;-47,1;0
34;7;1;3;1;0;1;2;2;1;0;1;93,994;-36,4;0
42;1;1;0;0;0;1;3;4;1;0;1;94,465;-41,8;0
30;0;2;6;1;0;0;8;2;1;0;1;93,2;-42;0
27;8;2;2;1;0;0;5;3;1;0;1;94,027;-38,3;0
23;2;1;6;1;0;0;5;4;1;0;1;93,444;-36,1;0
43;1;1;0;1;0;1;2;2;1;0;1;93,994;-36,4;0
59;4;1;0;1;1;1;2;2;1;0;1;93,994;-36,4;0
31;6;2;6;0;0;0;5;1;1;2;0;94,027;-38,3;0
43;6;1;2;0;0;1;2;3;2;0;1;93,994;-36,4;0
52;9;1;3;1;0;1;2;1;2;0;1;93,994;-36,4;0
26;3;2;3;1;1;1;4;4;1;0;1;93,918;-42,7;0
24;1;1;2;1;1;1;2;5;6;0;1;93,994;-36,4;0
35;1;2;1;0;0;0;8;4;1;1;0;93,2;-42;0
59;9;1;5;0;0;0;3;4;4;1;0;94,055;-39,8;1
28;1;1;1;0;0;1;2;4;1;0;1;93,994;-36,4;0
37;1;2;2;0;0;1;2;3;2;0;1;93,994;-36,4;0
46;0;1;5;0;0;0;1;5;1;1;0;93,075;-47,1;0
26;9;2;6;1;0;0;4;5;3;2;2;94,215;-40,3;1
40;4;1;6;1;0;0;5;4;6;0;1;93,444;-36,1;0
56;1;1;0;1;0;0;4;2;2;0;1;93,918;-42,7;0
40;4;1;6;1;0;0;2;2;1;0;1;92,893;-46,2;0
29;0;2;6;1;1;1;2;3;2;0;1;93,994;-36,4;0
28;1;2;2;1;0;0;2;4;1;1;0;92,893;-46,2;0
28;10;2;6;1;0;0;2;1;1;0;1;92,893;-46,2;0
33;9;1;5;0;0;1;2;4;4;0;1;93,994;-36,4;0
56;2;1;6;1;1;1;3;4;1;0;1;94,465;-41,8;0
57;5;1;2;0;0;0;5;2;4;0;1;93,444;-36,1;1
24;0;2;3;1;0;1;4;4;1;0;1;93,918;-42,7;0
39;6;1;6;0;0;1;2;3;2;0;1;93,994;-36,4;0
25;0;2;6;0;0;1;3;3;2;0;1;94,465;-41,8;0
36;1;1;2;0;0;0;2;3;3;1;0;92,893;-46,2;1
48;0;1;6;1;0;0;8;3;1;0;1;93,2;-42;0
32;0;2;6;1;0;0;5;4;1;0;1;93,444;-36,1;0
48;0;1;6;1;1;0;4;5;2;0;1;93,918;-42,7;0
30;9;1;6;1;0;1;2;3;3;0;1;93,994;-36,4;0
41;0;0;3;0;0;1;2;2;2;0;1;93,994;-36,4;0
54;5;0;0;1;0;0;4;2;1;0;1;93,918;-42,7;0
29;0;2;6;1;0;0;0;1;1;0;1;93,369;-34,8;1
28;1;2;3;1;0;1;3;1;2;0;1;94,465;-41,8;0
30;0;1;6;0;0;1;2;2;2;0;1;93,994;-36,4;0
54;0;1;6;1;0;1;2;4;3;0;1;93,994;-36,4;0
33;2;1;2;0;0;1;2;2;1;0;1;93,994;-36,4;0
38;1;1;2;0;0;0;2;3;1;1;2;92,893;-46,2;0
46;3;0;1;1;0;1;3;2;8;0;1;94,465;-41,8;0
38;0;0;6;0;0;1;3;5;3;0;1;94,465;-41,8;0
38;7;1;3;0;0;0;4;4;1;0;1;93,918;-42,7;0
33;1;1;3;1;0;1;2;3;1;0;1;93,994;-36,4;0
25;0;1;6;0;0;1;2;5;1;0;1;93,994;-36,4;0
29;0;2;6;1;0;0;2;5;10;0;1;92,893;-46,2;0
60;9;1;5;0;0;1;4;2;15;0;1;93,918;-42,7;0
57;7;1;3;1;0;0;2;1;2;0;1;92,893;-46,2;0
36;0;2;6;0;0;0;5;3;1;0;1;93,444;-36,1;0
54;0;1;6;0;0;0;4;4;5;0;1;93,918;-42,7;0
25;6;2;6;0;0;1;2;2;3;0;1;93,994;-36,4;0
41;2;1;6;0;0;1;2;3;4;0;1;93,994;-36,4;0
54;4;1;6;1;0;0;1;2;1;0;1;93,075;-47,1;0
39;1;0;1;0;0;0;2;3;1;0;1;92,893;-46,2;0
55;2;0;6;0;0;0;2;5;1;1;0;92,893;-46,2;0
40;0;1;3;0;0;1;2;1;3;0;1;93,994;-36,4;0
43;10;1;6;1;0;1;2;2;1;0;1;93,994;-36,4;0
81;5;1;0;0;0;0;2;1;2;0;1;92,893;-46,2;1
43;9;0;5;1;0;0;2;1;1;0;1;92,893;-46,2;0
34;0;1;3;1;0;0;3;3;1;2;2;94,055;-39,8;1
42;9;1;3;1;0;0;5;2;1;0;1;93,444;-36,1;0
30;7;1;1;0;0;0;8;2;2;0;1;93,2;-42;0
24;7;2;2;0;1;1;3;1;2;0;1;94,465;-41,8;0
42;1;1;2;0;0;0;2;2;5;1;2;92,893;-46,2;0
51;6;1;0;0;1;1;2;3;7;0;1;93,994;-36,4;0
38;1;1;3;0;0;0;4;1;3;0;1;93,918;-42,7;0
45;1;1;0;1;1;0;5;1;1;0;1;93,444;-36,1;0
51;0;0;6;0;0;1;5;5;1;0;1;93,444;-36,1;0
44;0;1;6;0;0;1;2;5;6;0;1;93,994;-36,4;0
52;9;1;2;1;0;0;8;5;1;0;1;93,2;-42;0
49;0;1;6;1;0;1;2;1;1;0;1;93,994;-36,4;0
49;9;1;5;1;0;1;2;2;1;0;1;93,994;-36,4;0
32;2;1;6;0;0;0;8;4;4;0;1;93,2;-42;0
27;7;1;3;0;0;0;4;4;3;0;1;93,918;-42,7;0
44;0;0;3;1;0;0;2;2;8;1;0;92,893;-46,2;0
33;0;2;6;0;0;0;2;3;7;0;1;92,893;-46,2;0
30;7;1;2;0;0;0;4;2;2;0;1;93,918;-42,7;0
32;0;2;6;1;0;0;4;4;1;0;1;93,918;-42,7;0
36;1;1;5;1;1;1;3;2;3;0;1;94,465;-41,8;0
49;10;1;3;1;0;0;4;3;1;0;1;93,918;-42,7;0
48;7;2;0;1;1;0;2;4;2;0;1;92,893;-46,2;0
48;9;1;5;1;0;0;5;5;8;0;1;93,444;-36,1;1
42;1;1;0;0;0;1;2;3;2;0;1;93,994;-36,4;0
28;0;1;3;1;0;0;2;3;3;0;1;92,893;-46,2;0
52;4;1;6;1;1;0;5;4;1;0;1;93,444;-36,1;0
23;4;2;6;1;0;0;4;2;2;0;1;93,918;-42,7;0
36;1;1;1;1;0;1;2;3;1;0;1;93,994;-36,4;0
43;0;0;6;0;0;0;5;2;2;0;1;93,444;-36,1;0
31;7;0;3;1;0;0;2;4;1;0;1;92,893;-46,2;0
49;10;1;0;1;0;0;5;3;2;0;1;93,444;-36,1;0
36;1;1;2;1;0;0;4;1;3;0;1;93,918;-42,7;0
47;4;0;0;0;0;1;2;5;2;0;1;93,994;-36,4;0
46;2;1;5;0;0;1;3;1;1;0;1;94,465;-41,8;0
54;1;1;2;1;0;0;5;2;3;0;1;93,444;-36,1;0
35;0;1;6;0;0;0;2;4;3;0;1;92,893;-46,2;0
37;0;0;3;0;0;1;2;4;10;0;1;93,994;-36,4;0
44;1;1;2;1;0;1;3;1;1;0;1;94,465;-41,8;0
30;10;1;3;0;0;0;2;1;1;1;2;92,893;-46,2;1
33;0;2;3;1;0;0;4;2;5;0;1;93,918;-42,7;0
43;10;1;0;0;0;0;2;3;2;0;1;92,893;-46,2;0
29;9;2;6;0;0;0;2;1;2;0;1;92,893;-46,2;0
35;0;0;3;1;1;1;2;1;2;1;0;92,893;-46,2;0
47;0;1;3;0;0;0;2;3;2;0;1;92,893;-46,2;0
37;4;1;6;1;0;0;8;4;1;0;1;93,2;-42;0
35;9;2;6;0;0;0;1;1;1;0;1;93,075;-47,1;0
37;6;1;2;1;1;0;4;4;1;0;1;93,918;-42,7;0
36;9;1;3;1;0;0;5;3;2;0;1;93,444;-36,1;0
50;0;1;2;0;0;0;5;4;1;0;1;93,444;-36,1;0
30;0;2;6;0;0;0;5;1;1;0;1;93,444;-36,1;0
33;1;1;2;1;0;0;4;2;1;0;1;93,918;-42,7;0
37;0;2;3;0;1;0;4;2;6;0;1;93,918;-42,7;0
45;6;0;6;0;1;0;2;5;1;0;1;92,893;-46,2;0
30;0;2;6;0;0;0;8;5;2;1;0;93,2;-42;0
51;4;0;6;0;0;0;2;3;2;0;1;92,893;-46,2;0
49;6;2;2;0;0;1;2;1;10;0;1;93,994;-36,4;0
31;9;2;6;1;0;0;5;4;5;0;1;93,444;-36,1;0
40;0;2;6;1;0;0;4;5;1;0;1;93,918;-42,7;0
41;9;1;5;0;1;0;5;4;2;0;1;93,444;-36,1;0
58;5;1;0;1;0;0;1;4;1;1;2;93,075;-47,1;0
49;1;1;0;1;0;1;2;4;1;0;1;93,994;-36,4;0
39;9;0;5;1;0;1;2;5;1;0;1;93,994;-36,4;0
48;9;1;1;0;1;1;2;2;1;0;1;93,994;-36,4;0
50;2;1;0;0;0;0;4;4;2;0;1;93,918;-42,7;0
51;1;1;0;0;0;0;5;2;2;0;1;93,444;-36,1;0
36;0;2;6;0;0;1;2;3;4;0;1;93,994;-36,4;0
35;1;1;1;1;0;0;8;2;2;0;1;93,2;-42;0
44;0;1;3;0;0;0;5;1;1;0;1;93,444;-36,1;0
43;1;1;0;0;1;0;2;3;1;1;0;92,893;-46,2;0
30;9;2;6;0;0;0;5;4;7;0;1;93,444;-36,1;0
41;9;0;0;1;0;1;2;2;1;0;1;93,994;-36,4;0
27;4;2;6;1;0;1;2;2;2;0;1;93,994;-36,4;0
45;1;1;3;1;1;0;8;1;2;3;2;94,767;-50,8;1
26;0;2;3;1;0;1;2;5;3;0;1;93,994;-36,4;0
24;8;2;3;0;0;0;4;3;1;1;0;92,469;-33,6;0
46;4;1;6;1;0;0;8;4;6;0;1;93,2;-42;0
61;1;1;1;1;1;0;2;5;1;2;2;93,876;-40;1
50;0;0;2;0;0;1;2;5;4;0;1;93,994;-36,4;0
49;9;1;5;1;0;1;2;2;9;0;1;93,994;-36,4;0
55;0;1;0;1;0;0;1;5;1;1;0;93,075;-47,1;0
54;1;1;0;1;0;0;5;4;2;0;1;93,444;-36,1;0
40;1;0;2;1;0;0;4;3;3;0;1;93,918;-42,7;0
58;1;1;0;1;1;0;2;3;1;0;1;92,893;-46,2;0
58;2;1;6;0;0;1;4;3;1;0;1;93,918;-42,7;0
36;0;2;6;1;0;0;5;4;1;0;1;93,444;-36,1;0
30;0;2;6;1;0;0;5;3;1;0;1;93,444;-36,1;0
45;0;2;6;1;0;0;4;4;1;0;1;93,918;-42,7;0
40;4;1;6;1;0;0;8;5;1;1;0;93,2;-42;0
